Short_name	Sample_name	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Recovery	Cobalt_concentration_uM_corrected	Time	Wire_treatment	Abiotic_vs_biotic	DMSO_treatment	Metabolite_treatment	Replicate	Sample_preservation	Bottle_number	Cell_presence	Mean_cobalt_concentration_uM_corrected	Median_cobalt_concentration_uM_corrected	Stdev_cobalt_concentration_uM_corrected	Min_cobalt_concentration_uM_corrected	Max_cobalt_concentration_uM_corrected
168-5.1	2024-02-20_168hr_Wire+Media+DMSO_5_A-F	15377.016	260.9228297	0.970721	268.7928145	168	Wire included	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	5	No cells	146.9106033	128.7718838	91.39491606	61.30583111	268.7928145
168-5.2	2024-02-20_168hr_Wire+Media+DMSO_5_F-A	3479.174	59.03589649	0.952422	61.99152859	168	Wire included	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	5	No cells	46.57613072	47.28932384	18.01456198	29.4429939	62.28288131
168-6.1	2024-02-20_168hr_Wire+Media+DMSO_6_A-F	9436.171	160.1163996	0.987942	162.0706475	168	Wire included	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	6	No cells	146.9106033	128.7718838	91.39491606	61.30583111	268.7928145
168-6.2	2024-02-20_168hr_Wire+Media+DMSO_6_F-A	3576.27	60.68345692	0.97432	62.28288131	168	Wire included	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	6	No cells	46.57613072	47.28932384	18.01456198	29.4429939	62.28288131
168-7.1	2024-02-20_168hr_NoWire+Media+DMSO_7_A-F	145.607	2.470712813	1	2.470712813	168	No wire	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	7	No cells	2.01566791	1.979444692	0.413459829	1.633069444	2.470712813
168-7.2	2024-02-20_168hr_NoWire+Media+DMSO_7_F-A	159.487	2.706233728	1	2.706233728	168	No wire	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	7	No cells	2.080525246	1.980471278	0.492197223	1.654924699	2.706233728
168-8.1	2024-02-20_168hr_NoWire+Media+DMSO_8_A-F	133.155	2.259422724	1	2.259422724	168	No wire	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	8	No cells	2.01566791	1.979444692	0.413459829	1.633069444	2.470712813
168-8.2	2024-02-20_168hr_NoWire+Media+DMSO_8_F-A	131.976	2.239417021	1	2.239417021	168	No wire	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	8	No cells	2.080525246	1.980471278	0.492197223	1.654924699	2.706233728
168-9.1	2024-02-20_168hr_Wire+10%inoc_9_A-F	105111.437	1783.569294	1.00415	1776.198072	168	Wire included	Wild type	No DMSO	Nothing added	1	"Acidified, filtered"	9	Live cells	2188.171728	2132.981497	730.9079782	1157.653848	2966.418855
168-9.2	2024-02-20_168hr_Wire+10%inoc_9_F-A	33736.651	572.455829	0.903513	633.5889235	168	Wire included	Wild type	No DMSO	Nothing added	1	"Filtered, acidified"	9	Live cells	1161.764472	859.7381043	799.0386607	612.8437977	2314.73788
168-10.1	2024-02-20_168hr_Wire+10%inoc_10_A-F	103234.569	1751.721912	0.975558	1795.610217	168	Wire included	Wild type	No DMSO	Nothing added	2	"Acidified, filtered"	10	Live cells	2188.171728	2132.981497	730.9079782	1157.653848	2966.418855
168-10.2	2024-02-20_168hr_Wire+10%inoc_10_F-A	32308.033	548.2145165	0.894542	612.8437977	168	Wire included	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	10	Live cells	1161.764472	859.7381043	799.0386607	612.8437977	2314.73788
168-11.1	2024-02-20_168hr_NoWire+10%inoc_11_A-F	149.337	2.534004817	1	2.534004817	168	No wire	Wild type	No DMSO	Nothing added	1	"Acidified, filtered"	11	Live cells	2.271006462	2.20184906	0.305242128	1.937193461	2.714938499
168-11.2	2024-02-20_168hr_NoWire+10%inoc_11_F-A	156.633	2.657806012	1	2.657806012	168	No wire	Wild type	No DMSO	Nothing added	1	"Filtered, acidified"	11	Live cells	2.177435824	2.15617022	0.478824782	1.739596844	2.657806012
168-12.1	2024-02-20_168hr_NoWire+10%inoc_12_A-F	136.149	2.310226011	1	2.310226011	168	No wire	Wild type	No DMSO	Nothing added	2	"Acidified, filtered"	12	Live cells	2.271006462	2.20184906	0.305242128	1.937193461	2.714938499
168-12.2	2024-02-20_168hr_NoWire+10%inoc_12_F-A	148.5	2.519802295	1	2.519802295	168	No wire	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	12	Live cells	2.177435824	2.15617022	0.478824782	1.739596844	2.657806012
168-13.1	2024-02-20_168hr_Wire+10%inoc+DMSO_13_A-F	20629.136	350.0427221	0.994774	351.8816556	168	Wire included	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	13	Live cells	389.9921596	394.3872738	87.21353184	287.8016541	483.3924368
168-13.2	2024-02-20_168hr_Wire+10%inoc+DMSO_13_F-A	11068.341	187.8116569	0.965511	194.5204735	168	Wire included	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	13	Live cells	270.1694253	263.1597408	119.7931221	147.8888634	406.4693561
168-14.1	2024-02-20_168hr_Wire+10%inoc+DMSO_14_A-F	16927.522	287.2323824	0.998022	287.8016541	168	Wire included	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	14	Live cells	389.9921596	394.3872738	87.21353184	287.8016541	483.3924368
168-14.2	2024-02-20_168hr_Wire+10%inoc+DMSO_14_F-A	8594.138	145.8284758	0.986068	147.8888634	168	Wire included	Wild type	DMSO	Nothing added	2	"Filtered, acidified"	14	Live cells	270.1694253	263.1597408	119.7931221	147.8888634	406.4693561
168-15.1	2024-02-20_168hr_NoWire+10%inoc+DMSO_15_A-F	116.993	1.985179999	1	1.985179999	168	No wire	Wild type	DMSO	Nothing added	1	"Acidified, filtered"	15	Live cells	2.119747623	1.934334292	0.521160127	1.725445227	2.884876681
168-15.2	2024-02-20_168hr_NoWire+10%inoc+DMSO_15_F-A	125.529	2.130021968	1	2.130021968	168	No wire	Wild type	DMSO	Nothing added	1	"Filtered, acidified"	15	Live cells	1.852135286	1.856720987	0.31771582	1.565077203	2.130021968
168-16.1	2024-02-20_168hr_NoWire+10%inoc+DMSO_16_A-F	170.015	2.884876681	1	2.884876681	168	No wire	Wild type	DMSO	Nothing added	2	"Acidified, filtered"	16	Live cells	2.119747623	1.934334292	0.521160127	1.725445227	2.884876681
168-16.2	2024-02-20_168hr_NoWire+10%inoc+DMSO_16_F-A	125.19	2.124269692	1	2.124269692	168	No wire	Wild type	DMSO	Nothing added	2	"Filtered, acidified"	16	Live cells	1.852135286	1.856720987	0.31771582	1.565077203	2.130021968
0-1.1	2024-05-14_0hr_Wire+Media_1_A-F	196.205	3.329278177	0.99719	3.338659811	0	Wire included	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	17	No cells	2.817877979	2.583033743	0.835910955	2.067044174	4.840741586
0-1.2	2024-05-14_0hr_Wire+Media_1_F-A	196.39	3.332417324	0.9818	3.394191611	0	Wire included	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	17	No cells	3.775182065	3.394191611	1.382661007	2.622961326	5.308393258
0-2.1	2024-05-14_0hr_NoWire+Media_2_A-F	99.22	1.683601237	1	1.683601237	0	No wire	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	18	No cells	1.728083807	1.689548649	0.119598698	1.611485683	1.990575939
0-2.2	2024-05-14_0hr_NoWire+Media_2_F-A	102.305	1.735948645	1	1.735948645	0	No wire	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	18	No cells	1.883615847	1.860055271	0.211622431	1.682091052	2.132261792
0-3.1	2024-05-14_0hr_Wire+Media+DMSO_3_A-F	124.235	2.108064903	1.01533	2.076236202	0	Wire included	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	19	No cells	2.90020256	2.806684568	0.979910971	2.050697636	3.93674347
0-3.2	2024-05-14_0hr_Wire+Media+DMSO_3_F-A	127.95	2.171102381	1.01178	2.145824568	0	Wire included	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	19	No cells	2.993809081	2.921447414	1.032467533	2.072731979	4.059609518
0-4.1	2024-05-14_0hr_NoWire+Media+DMSO_4_A-F	88.76	1.506112133	1	1.506112133	0	No wire	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	20	No cells	1.680801457	1.672800872	0.184522259	1.506112133	1.871491949
0-4.2	2024-05-14_0hr_NoWire+Media+DMSO_4_F-A	90.235	1.531140472	1	1.531140472	0	No wire	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	20	No cells	1.697786791	1.642537793	0.210999339	1.531140472	1.974931106
0-5.1	2024-05-14_0hr_Wire+10%inoc_5_A-F	112.83	1.914540693	1.00223	1.910280767	0	Wire included	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	21	Live cells	3.424299274	3.132603699	1.273999357	1.910280767	4.940135944
0-5.2	2024-05-14_0hr_Wire+10%inoc_5_F-A	123.785	2.100429138	0.99752	2.105651153	0	Wire included	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	21	Live cells	3.834055022	3.852501406	1.785693744	2.105651153	5.525566121
0-6.1	2024-05-14_0hr_NoWire+10%inoc_6_A-F	100.67	1.708205367	1	1.708205367	0	No wire	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	22	Live cells	1.980230893	1.702520965	0.553051272	1.663374945	3.071155399
0-6.2	2024-05-14_0hr_NoWire+10%inoc_6_F-A	96.26	1.633374875	1	1.633374875	0	No wire	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	22	Live cells	1.808670818	1.794124687	0.212084355	1.620224391	2.026209507
0-7.1	2024-05-14_0hr_Wire+10%inoc+DMSO_7_A-F	121.96	2.069461871	0.9737	2.125358808	0	Wire included	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	23	Live cells	2.923502564	2.845457654	1.0617349	1.924423	4.078671949
0-7.2	2024-05-14_0hr_Wire+10%inoc+DMSO_7_F-A	101.19	1.717028917	0.96173	1.785354431	0	Wire included	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	23	Live cells	2.676250565	2.611303666	0.996441485	1.785354431	3.697040496
0-8.1	2024-05-14_0hr_NoWire+10%inoc+DMSO_8_A-F	86.375	1.465642581	1	1.465642581	0	No wire	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	24	Live cells	1.701846472	1.697455908	0.234602078	1.465642581	1.946831493
0-8.2	2024-05-14_0hr_NoWire+10%inoc+DMSO_8_F-A	89.41	1.51714157	1	1.51714157	0	No wire	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	24	Live cells	1.675910325	1.666140789	0.210186672	1.476213872	1.895145851
24-1.1	2024-05-15_24hr_Wire+Media_1_A-F	6253.61	106.1135409	0.99719	106.4125602	24	Wire included	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	17	No cells	143.523481	140.962607	37.08919366	87.5658456	203.3832219
24-1.2	2024-05-15_24hr_Wire+Media_1_F-A	6921.025	117.4384827	0.9818	119.6154845	24	Wire included	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	17	No cells	126.3691699	124.4391908	7.897566609	119.6154845	135.0528345
24-2.1	2024-05-15_24hr_NoWire+Media_2_A-F	97.47	1.653906597	1	1.653906597	24	No wire	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	18	No cells	1.55412582	1.66871998	0.351524059	0.916088123	2.036203875
24-2.2	2024-05-15_24hr_NoWire+Media_2_F-A	100.745	1.709477995	1	1.709477995	24	No wire	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	18	No cells	2.006517719	1.982354767	0.381660778	1.652701843	2.4086595
24-3.1	2024-05-15_24hr_Wire+Media+DMSO_3_A-F	2404.64	40.80281071	1.01533	40.18674787	24	Wire included	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	19	No cells	90.38371772	94.6862936	44.24746753	40.18674787	131.9755358
24-3.2	2024-05-15_24hr_Wire+Media+DMSO_3_F-A	1509.185	25.60840287	1.01178	25.31024815	24	Wire included	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	19	No cells	31.49281878	31.13758469	6.057529347	25.31024815	38.38585759
24-4.1	2024-05-15_24hr_NoWire+Media+DMSO_4_A-F	92.46	1.568895085	1	1.568895085	24	No wire	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	20	No cells	1.548957256	1.558866781	0.065022454	1.461298679	1.616796782
24-4.2	2024-05-15_24hr_NoWire+Media+DMSO_4_F-A	90.815	1.540982124	1	1.540982124	24	No wire	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	20	No cells	1.633154286	1.610611812	0.102083147	1.540982124	1.770411395
24-5.1	2024-05-15_24hr_Wire+10%inoc_5_A-F	47514.82	806.2488382	1.00223	804.4549038	24	Wire included	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	21	Live cells	961.2927373	876.859515	497.7294572	322.4623503	1652.122961
24-5.2	2024-05-15_24hr_Wire+10%inoc_5_F-A	46804.52	794.1962081	0.99752	796.1707115	24	Wire included	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	21	Live cells	487.7360577	424.6544694	215.8972325	305.4645806	796.1707115
24-6.1	2024-05-15_24hr_NoWire+10%inoc_6_A-F	102.6	1.740954313	1	1.740954313	24	No wire	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	22	Live cells	1.76022472	1.696836562	0.335682181	1.405676376	2.400395906
24-6.2	2024-05-15_24hr_NoWire+10%inoc_6_F-A	108.94	1.848533751	1	1.848533751	24	No wire	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	22	Live cells	1.715242997	1.759381958	0.269020322	1.360116315	1.982091757
24-7.1	2024-05-15_24hr_Wire+10%inoc+DMSO_7_A-F	18014.495	305.6765376	0.9737	313.9329748	24	Wire included	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	23	Live cells	227.5681572	235.1865209	77.24709091	125.9666121	313.9329748
24-7.2	2024-05-15_24hr_Wire+10%inoc+DMSO_7_F-A	17901.594	303.7607922	0.96173	315.8483069	24	Wire included	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	23	Live cells	229.7150661	238.2922399	78.15775638	126.4274777	315.8483069
24-8.1	2024-05-15_24hr_NoWire+10%inoc+DMSO_8_A-F	92.56	1.570591922	1	1.570591922	24	No wire	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	24	Live cells	1.545016353	1.54793067	0.063305612	1.468069057	1.616135015
24-8.2	2024-05-15_24hr_NoWire+10%inoc+DMSO_8_F-A	86.955	1.475484233	1	1.475484233	24	No wire	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	24	Live cells	1.591089708	1.548583952	0.147405979	1.475484233	1.791706694
72-1.1	2024-05-17_72hr_Wire+Media_1_A-F	9353.13	158.7073295	0.99719	159.1545538	72	Wire included	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	17	No cells	152.882723	134.9661862	54.05774343	96.05780647	244.6002272
72-1.2	2024-05-17_72hr_Wire+Media_1_F-A	4608.37	78.19650708	0.9818	79.64606547	72	Wire included	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	17	No cells	93.01691173	80.87319701	22.10477503	79.64606547	118.5314727
72-2.1	2024-05-17_72hr_NoWire+Media_2_A-F	108.395	1.839285992	1	1.839285992	72	No wire	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	18	No cells	1.685576355	1.696836562	0.09287771	1.52939273	1.839285992
72-2.2	2024-05-17_72hr_NoWire+Media_2_F-A	100.775	1.709987046	1	1.709987046	72	No wire	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	18	No cells	1.965212475	1.954942372	0.284990387	1.709987046	2.240978111
72-3.1	2024-05-17_72hr_Wire+Media+DMSO_3_A-F	3122.335	52.98092187	1.01533	52.18098733	72	Wire included	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	19	No cells	86.73391067	81.32809738	35.67100141	52.18098733	132.0984606
72-3.2	2024-05-17_72hr_Wire+Media+DMSO_3_F-A	1685.7	28.60357393	1.01178	28.27054689	72	Wire included	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	19	No cells	30.45772713	28.52632211	5.07278197	26.8147619	37.9635024
72-4.1	2024-05-17_72hr_NoWire+Media+DMSO_4_A-F	98.005	1.662984673	1	1.662984673	72	No wire	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	20	No cells	1.690439488	1.684695697	0.063030943	1.622549057	1.769817503
72-4.2	2024-05-17_72hr_NoWire+Media+DMSO_4_F-A	99.685	1.691491527	1	1.691491527	72	No wire	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	20	No cells	1.772180348	1.75027843	0.160413229	1.609194954	1.978969577
72-5.1	2024-05-17_72hr_Wire+10%inoc_5_A-F	58596.96	994.2946416	1.00223	992.0822981	72	Wire included	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	21	Live cells	1849.049635	1439.339461	1068.358594	902.9130132	3473.979149
72-5.2	2024-05-17_72hr_Wire+10%inoc_5_F-A	60016.045	1018.374195	0.99752	1020.906042	72	Wire included	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	21	Live cells	1113.090741	1005.360079	255.3664337	948.1227511	1493.520056
72-6.1	2024-05-17_72hr_NoWire+10%inoc_6_A-F	104.61	1.775060728	1	1.775060728	72	No wire	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	22	Live cells	1.931947408	1.956978576	0.146475706	1.762962283	2.103500413
72-6.2	2024-05-17_72hr_NoWire+10%inoc_6_F-A	113.54	1.926588233	1	1.926588233	72	No wire	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	22	Live cells	1.818062809	1.814215232	0.114384404	1.717232538	1.926588233
72-7.1	2024-05-17_72hr_Wire+10%inoc+DMSO_7_A-F	27654.655	469.2542972	0.9737	481.9290307	72	Wire included	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	23	Live cells	353.691096	379.399559	129.6834936	174.0362351	481.9290307
72-7.2	2024-05-17_72hr_Wire+10%inoc+DMSO_7_F-A	24973.19	423.7542187	0.96173	440.6166166	72	Wire included	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	23	Live cells	273.4087069	278.3165745	161.6259013	96.38506203	440.6166166
72-8.1	2024-05-17_72hr_NoWire+10%inoc+DMSO_8_A-F	91.445	1.551672194	1	1.551672194	72	No wire	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	24	Live cells	1.667277669	1.673471123	0.103996397	1.551672194	1.770496237
72-8.2	2024-05-17_72hr_NoWire+10%inoc+DMSO_8_F-A	96.96	1.645252731	1	1.645252731	72	No wire	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	24	Live cells	1.704561411	1.707441791	0.126503382	1.559833978	1.843528083
168-1.1	2024-05-21_168hr_Wire+Media_1_A-F	16500.41	279.9849898	0.99719	280.7739646	168	Wire included	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	17	No cells	240.4712151	251.7465942	76.45189204	128.2731463	381.0251426
168-1.2	2024-05-21_168hr_Wire+Media_1_F-A	3876.97	65.78584446	0.9818	67.00534168	168	Wire included	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	17	No cells	104.5064346	69.46618286	62.83469544	67.00534168	177.0477793
168-2.1	2024-05-21_168hr_NoWire+Media_2_A-F	112.39	1.907074612	1	1.907074612	168	No wire	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	18	No cells	1.892977294	1.868386739	0.180822187	1.696836562	2.181351274
168-2.2	2024-05-21_168hr_NoWire+Media_2_F-A	114.56	1.943895966	1	1.943895966	168	No wire	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	18	No cells	2.040815028	2.052281401	0.193642414	1.819025763	2.239671547
168-3.1	2024-05-21_168hr_Wire+Media+DMSO_3_A-F	3668.335	62.2456495	1.01533	61.30583111	168	Wire included	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	19	No cells	146.9106033	128.7718838	91.39491606	61.30583111	268.7928145
168-3.2	2024-05-21_168hr_Wire+Media+DMSO_3_F-A	1755.61	29.78983237	1.01178	29.4429939	168	Wire included	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	19	No cells	46.57613072	47.28932384	18.01456198	29.4429939	62.28288131
168-4.1	2024-05-21_168hr_NoWire+Media+DMSO_4_A-F	100.155	1.699466659	1	1.699466659	168	No wire	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	20	No cells	2.01566791	1.979444692	0.413459829	1.633069444	2.470712813
168-4.2	2024-05-21_168hr_NoWire+Media+DMSO_4_F-A	101.455	1.721525534	1	1.721525534	168	No wire	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	20	No cells	2.080525246	1.980471278	0.492197223	1.654924699	2.706233728
168-5.1	2024-05-21_168hr_Wire+10%inoc_5_A-F	68376.38	1160.235416	1.00223	1157.653848	168	Wire included	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	21	Live cells	2188.171728	2132.981497	730.9079782	1157.653848	2966.418855
168-5.2	2024-05-21_168hr_Wire+10%inoc_5_F-A	63836.1	1083.194285	0.99752	1085.887285	168	Wire included	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	21	Live cells	1161.764472	859.7381043	799.0386607	612.8437977	2314.73788
168-6.1	2024-05-21_168hr_NoWire+10%inoc_6_A-F	123.375	2.093472109	1	2.093472109	168	No wire	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	22	Live cells	2.271006462	2.20184906	0.305242128	1.937193461	2.714938499
168-6.2	2024-05-21_168hr_NoWire+10%inoc_6_F-A	102.52	1.739596844	1	1.739596844	168	No wire	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	22	Live cells	2.177435824	2.15617022	0.478824782	1.739596844	2.657806012
168-7.1	2024-05-21_168hr_Wire+10%inoc+DMSO_7_A-F	27738.63	470.6792157	0.9737	483.3924368	168	Wire included	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	23	Live cells	389.9921596	394.3872738	87.21353184	287.8016541	483.3924368
168-7.2	2024-05-21_168hr_Wire+10%inoc+DMSO_7_F-A	18805.645	319.1010601	0.96173	331.7990081	168	Wire included	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	23	Live cells	270.1694253	263.1597408	119.7931221	147.8888634	406.4693561
168-8.1	2024-05-21_168hr_NoWire+10%inoc+DMSO_8_A-F	111	1.883488584	1	1.883488584	168	No wire	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	24	Live cells	2.119747623	1.934334292	0.521160127	1.725445227	2.884876681
168-8.2	2024-05-21_168hr_NoWire+10%inoc+DMSO_8_F-A	92.235	1.565077203	1	1.565077203	168	No wire	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	24	Live cells	1.852135286	1.856720987	0.31771582	1.565077203	2.130021968
0-1.3-B	2024-05-28_0hr_Wire+Media_1_A-F	143.836	2.440661838	0.97911	2.492735074	0	Wire included	Sterile medium	No DMSO	Nothing added	4	"Acidified, filtered"	25	No cells	2.817877979	2.583033743	0.835910955	2.067044174	4.840741586
0-1.4-B	2024-05-28_0hr_Wire+Media_1_F-A	149.871	2.543065924	0.96954	2.622961326	0	Wire included	Sterile medium	No DMSO	Nothing added	4	"Filtered, acidified"	25	No cells	3.775182065	3.394191611	1.382661007	2.622961326	5.308393258
0-2.3-B	2024-05-28_0hr_NoWire+Media_2_A-F	98.506	1.671485824	1	1.671485824	0	No wire	Sterile medium	No DMSO	Nothing added	4	"Acidified, filtered"	26	No cells	1.728083807	1.689548649	0.119598698	1.611485683	1.990575939
0-2.4-B	2024-05-28_0hr_NoWire+Media_2_F-A	99.131	1.682091052	1	1.682091052	0	No wire	Sterile medium	No DMSO	Nothing added	4	"Filtered, acidified"	26	No cells	1.883615847	1.860055271	0.211622431	1.682091052	2.132261792
0-3.3-B	2024-05-28_0hr_Wire+Media+DMSO_3_A-F	118.454	2.009970781	0.98014	2.050697636	0	Wire included	Sterile medium	DMSO	Nothing added	4	"Acidified, filtered"	27	No cells	2.90020256	2.806684568	0.979910971	2.050697636	3.93674347
0-3.4-B	2024-05-28_0hr_Wire+Media+DMSO_3_F-A	118.923	2.017928945	0.97356	2.072731979	0	Wire included	Sterile medium	DMSO	Nothing added	4	"Filtered, acidified"	27	No cells	2.993809081	2.921447414	1.032467533	2.072731979	4.059609518
0-4.3-B	2024-05-28_0hr_NoWire+Media+DMSO_4_A-F	90.772	1.540252484	1	1.540252484	0	No wire	Sterile medium	DMSO	Nothing added	4	"Acidified, filtered"	28	No cells	1.680801457	1.672800872	0.184522259	1.506112133	1.871491949
0-4.4-B	2024-05-28_0hr_NoWire+Media+DMSO_4_F-A	90.497	1.535586184	1	1.535586184	0	No wire	Sterile medium	DMSO	Nothing added	4	"Filtered, acidified"	28	No cells	1.697786791	1.642537793	0.210999339	1.531140472	1.974931106
0-5.3-B	2024-05-28_0hr_Wire+10%inoc_5_A-F	137.831	2.338766802	0.92411	2.530831613	0	Wire included	Wild type	No DMSO	Nothing added	4	"Acidified, filtered"	29	Live cells	3.424299274	3.132603699	1.273999357	1.910280767	4.940135944
0-5.4-B	2024-05-28_0hr_Wire+10%inoc_5_F-A	136.619	2.318201143	0.93128	2.489263318	0	Wire included	Wild type	No DMSO	Nothing added	4	"Filtered, acidified"	29	Live cells	3.834055022	3.852501406	1.785693744	2.105651153	5.525566121
0-6.3-B	2024-05-28_0hr_NoWire+10%inoc_6_A-F	98.028	1.663374945	1	1.663374945	0	No wire	Wild type	No DMSO	Nothing added	4	"Acidified, filtered"	30	Live cells	1.980230893	1.702520965	0.553051272	1.663374945	3.071155399
0-6.4-B	2024-05-28_0hr_NoWire+10%inoc_6_F-A	95.485	1.620224391	1	1.620224391	0	No wire	Wild type	No DMSO	Nothing added	4	"Filtered, acidified"	30	Live cells	1.808670818	1.794124687	0.212084355	1.620224391	2.026209507
0-7.3-B	2024-05-28_0hr_Wire+10%inoc+DMSO_7_A-F	112.462	1.908296335	0.99162	1.924423	0	Wire included	Wild type	DMSO	Nothing added	4	"Acidified, filtered"	31	Live cells	2.923502564	2.845457654	1.0617349	1.924423	4.078671949
0-7.4-B	2024-05-28_0hr_Wire+10%inoc+DMSO_7_F-A	108.267	1.837114041	0.98869	1.858129485	0	Wire included	Wild type	DMSO	Nothing added	4	"Filtered, acidified"	31	Live cells	2.676250565	2.611303666	0.996441485	1.785354431	3.697040496
0-8.3-B	2024-05-28_0hr_NoWire+10%inoc+DMSO_8_A-F	90.787	1.54050701	1	1.54050701	0	No wire	Wild type	DMSO	Nothing added	4	"Acidified, filtered"	32	Live cells	1.701846472	1.697455908	0.234602078	1.465642581	1.946831493
0-8.4-B	2024-05-28_0hr_NoWire+10%inoc+DMSO_8_F-A	86.998	1.476213872	1	1.476213872	0	No wire	Wild type	DMSO	Nothing added	4	"Filtered, acidified"	32	Live cells	1.675910325	1.666140789	0.210186672	1.476213872	1.895145851
24-1.3-B	2024-05-29_24hr_Wire+Media_1_A-F	8577.369	145.5439333	0.97911	148.6492154	24	Wire included	Sterile medium	No DMSO	Nothing added	4	"Acidified, filtered"	25	No cells	143.523481	140.962607	37.08919366	87.5658456	203.3832219
24-1.4-B	2024-05-29_24hr_Wire+Media_1_F-A	7716.661	130.9391252	0.96954	135.0528345	24	Wire included	Sterile medium	No DMSO	Nothing added	4	"Filtered, acidified"	25	No cells	126.3691699	124.4391908	7.897566609	119.6154845	135.0528345
24-2.3-B	2024-05-29_24hr_NoWire+Media_2_A-F	98.593	1.672962072	1	1.672962072	24	No wire	Sterile medium	No DMSO	Nothing added	4	"Acidified, filtered"	26	No cells	1.55412582	1.66871998	0.351524059	0.916088123	2.036203875
