metabolite,1.1.DD.0hr.1x.2026.05.28,1.1.DD.168hr.1x.2026.05.28,1.1.DD.24hr.1x.2026.05.28,1.1.DD.72hr.1x.2026.05.28,1.1.P.0hr.1x.2026.05.28,1.1.P.168hr.1x.2026.05.28,1.1.P.24hr.1x.2026.05.28,1.1.P.72hr.1x.2026.05.28,1.2.DD.0hr.1x.2026.05.28,1.2.DD.168hr.1x.2026.05.28,1.2.DD.24hr.1x.2026.05.28,1.2.DD.72hr.1x.2026.05.28,1.2.P.0hr.1x.2026.05.28,1.2.P.168hr.1x.2026.05.28,1.2.P.24hr.1x.2026.05.28,1.2.P.72hr.1x.2026.05.28,2.1.DD.0hr.1x.2026.05.28,2.1.DD.168hr.1x.2026.05.28,2.1.DD.24hr.1x.2026.05.28,2.1.DD.72hr.1x.2026.05.28,2.1.P.0hr.1x.2026.05.28,2.1.P.168hr.1x.2026.05.28,2.1.P.24hr.1x.2026.05.28,2.1.P.72hr.1x.2026.05.28,2.2.DD.0hr.1x.2026.05.28,2.2.DD.168hr.1x.2026.05.28,2.2.DD.24hr.1x.2026.05.28,2.2.DD.72hr.1x.2026.05.28,2.2.P.0hr.1x.2026.05.28,2.2.P.168hr.1x.2026.05.28,2.2.P.24hr.1x.2026.05.28,2.2.P.72hr.1x.2026.05.28,5.5.WT.0hr.1x.2026.05.28,5.5.WT.168hr.1x.2026.05.28,5.5.WT.24hr.1x.2026.05.28,5.5.WT.72hr.1x.2026.05.28,5.6.WT.0hr.1x.2026.05.28,5.6.WT.168hr.1x.2026.05.28,5.6.WT.24hr.1x.2026.05.28,5.6.WT.72hr.1x.2026.05.28,6.5.WT.0hr.1x.2026.05.28,6.5.WT.168hr.1x.2026.05.28,6.5.WT.24hr.1x.2026.05.28,6.5.WT.72hr.1x.2026.05.28,6.6.WT.0hr.1x.2026.05.28,6.6.WT.168hr.1x.2026.05.28,6.6.WT.24hr.1x.2026.05.28,6.6.WT.72hr.1x.2026.05.28
758.5406@12.07,0,135.6,191,0,2682,13150,10800,8857,360.4,197.9,344.6,321.9,136.9,0,0,170.1,0,0,0,0,0,0,0,0,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450.12411@12.07,0,0,251.9,317.7,0,0,2404,1969,0,0,0,0,140.3,0,254,556,141.1,0,135.6,0,240.1,306.1,277.9,0,0,0,0,0,0,222.4,231,304.2,0,294.6,327.7,3093,231.8,240.4,2345,287.7,0,2523,928.2,1211,0,1619,448.9,2078
454.17441@12.09,0,169.6,0,0,868.7,1335,504.7,931.1,0,0,219,0,569.8,588.3,641.2,1578,0,209.3,0,0,677.2,274.8,469.1,567.1,0,239.5,231.1,267.6,322.3,326.3,460.3,520.8,0,346.8,213.5,320.3,361.1,316.3,272.7,238.3,361.8,381.9,987.3,494.2,399.2,491,528.9,430.1
517.10042@12.09,0,0,0,0,0,0,6685,5267,0,0,0,0,0,324.7,0,514.1,0,0,0,0,0,0,0,342.5,0,0,0,0,0,0,178.3,0,0,0,244,4487,0,0,455.6,0,0,3471,4367,3312,0,620.5,4168,4021
631.18103@12.12,0,1083,0,285.7,0,440.9,0,141.1,120.1,708.3,435.1,935.7,1004,3434,1823,3002,3922,0,0,0,0,4674,3601,3940,0,0,0,0,3373,3449,4981,4139,0,4873,5821,0,0,1179,2830,1671,0,1169,0,933.2,1694,1114,1846,0
491.21717@12.1,0,164.7,0,0,0,219.7,0,0,0,0,0,0,0,268.7,239.9,0,0,0,196.2,0,0,0,0,0,0,350.9,286.9,298.6,183,207.4,0,0,0,0,278.8,0,291.7,319.3,0,232.9,301.9,1019,3950,2962,205.2,893.6,2896,2743
617.12224@12.12,426.4,2343,1742,960.6,0,218.8,0,0,409.3,208.4,404.6,172.7,5248,7253,5118,6192,271.4,0,0,200.7,7710,7314,5808,4208,0,0,0,0,11030,4732,6515,7250,7103,7189,6568,7514,5032,5791,4112,4130,4972,4180,4365,0,4683,4081,5137,4447
759.54027@12.11,386.1,0,0,0,559.4,7221,2267,1650,225.7,342.4,0,0,0,0,164.5,0,137.6,0,0,0,148.6,0,0,0,299.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473.09544@12.12,0,0,0,0,287.3,0,0,321,0,0,0,0,0,484.6,355,309.3,0,168.6,0,0,310.3,0,357.1,230.8,0,0,0,0,0,1865,185.2,309.4,0,283.5,1741,0,272.5,0,235,0,167.9,340,509.5,1099,203.8,265.6,278.8,0
760.56355@12.12,1694,0,302.5,0,1085,4516,1129,1041,2016,267.6,335.1,0,0,287.2,385.2,355.2,361.6,234.9,225.3,0,286.1,306.7,313.1,230.4,313.8,316.7,344.8,0,314.9,294.4,0,310.7,387.7,366.7,1073,271.8,204.5,0,0,0,0,0,0,0,0,0,0,0
