Short_name	Sample_name	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Time	Wire_treatment	Abiotic_vs_biotic	DMSO_treatment	Metabolite_treatment	Replicate	Sample_preservation	Bottle_number	Recovery
24-3.1	2024-02-14_24hr_NoWire+Media_3_A-F	55.11	0.935126629	24	No wire	Sterile medium	No DMSO	Nothing added	1	"Acidified, filtered"	3	
24-3.2	2024-02-14_24hr_NoWire+Media_3_F-A	141.95	2.4086595	24	No wire	Sterile medium	No DMSO	Nothing added	1	"Filtered, acidified"	3	
24-4.1	2024-02-14_24hr_NoWire+Media_4_A-F	53.988	0.916088123	24	No wire	Sterile medium	No DMSO	Nothing added	2	"Acidified, filtered"	4	
24-4.2	2024-02-14_24hr_NoWire+Media_4_F-A	132.908	2.255231538	24	No wire	Sterile medium	No DMSO	Nothing added	2	"Filtered, acidified"	4	
24-5.1	2024-02-14_24hr_Wire+Media+DMSO_5_A-F	7028.212	119.2572709	24	Wire included	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	5	
24-5.2	2024-02-14_24hr_Wire+Media+DMSO_5_F-A	2154.344	36.55569667	24	Wire included	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	5	
24-6.1	2024-02-14_24hr_Wire+Media+DMSO_6_A-F	7683.956	130.3841748	24	Wire included	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	6	
24-6.2	2024-02-14_24hr_Wire+Media+DMSO_6_F-A	1987.196	33.71946829	24	Wire included	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	6	
24-7.1	2024-02-14_24hr_NoWire+Media+DMSO_7_A-F	95.283	1.616796782	24	No wire	Sterile medium	DMSO	Nothing added	1	"Acidified, filtered"	7	
24-7.2	2024-02-14_24hr_NoWire+Media+DMSO_7_F-A	97.167	1.648765182	24	No wire	Sterile medium	DMSO	Nothing added	1	"Filtered, acidified"	7	
24-8.1	2024-02-14_24hr_NoWire+Media+DMSO_8_A-F	86.119	1.461298679	24	No wire	Sterile medium	DMSO	Nothing added	2	"Acidified, filtered"	8	
24-8.2	2024-02-14_24hr_NoWire+Media+DMSO_8_F-A	104.336	1.770411395	24	No wire	Sterile medium	DMSO	Nothing added	2	"Filtered, acidified"	8	
24-9.1	2024-02-14_24hr_Wire+10%inoc_9_A-F	56175.332	953.2035723	24	Wire included	Wild type	No DMSO	Nothing added	1	"Acidified, filtered"	9	0.9405
24-9.2	2024-02-14_24hr_Wire+10%inoc_9_F-A	20377.246	345.7685605	24	Wire included	Wild type	No DMSO	Nothing added	1	"Filtered, acidified"	9	0.9405
24-10.1	2024-02-14_24hr_Wire+10%inoc_10_A-F	35566.932	603.5127062	24	Wire included	Wild type	No DMSO	Nothing added	2	"Acidified, filtered"	10	0.9405
24-10.2	2024-02-14_24hr_Wire+10%inoc_10_F-A	24599.134	417.4070997	24	Wire included	Wild type	No DMSO	Nothing added	2	"Filtered, acidified"	10	0.9405
24-11.1	2024-02-14_24hr_NoWire+10%inoc_11_A-F	141.463	2.400395906	24	No wire	Wild type	No DMSO	Nothing added	1	"Acidified, filtered"	11	
24-11.2	2024-02-14_24hr_NoWire+10%inoc_11_F-A	80.156	1.360116315	24	No wire	Wild type	No DMSO	Nothing added	1	"Filtered, acidified"	11	
