Short_name	Sample_name	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Time	Wire_treatment	Abiotic_vs_biotic	DMSO_treatment	Metabolite_treatment	Replicate	Sample_preservation	Bottle_number	Recovery
24-6.2	2024-05-15_24hr_NoWire+10%inoc_6_F-A	108.94	1.848533751	24	No wire	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	22	
24-7.1	2024-05-15_24hr_Wire+10%inoc+DMSO_7_A-F	18014.495	305.6765376	24	Wire included	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	23	
24-7.2	2024-05-15_24hr_Wire+10%inoc+DMSO_7_F-A	17901.594	303.7607922	24	Wire included	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	23	
24-8.1	2024-05-15_24hr_NoWire+10%inoc+DMSO_8_A-F	92.56	1.570591922	24	No wire	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	24	
24-8.2	2024-05-15_24hr_NoWire+10%inoc+DMSO_8_F-A	86.955	1.475484233	24	No wire	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	24	
72-1.1	2024-05-17_72hr_Wire+Media_1_A-F	9353.13	158.7073295	72	Wire included	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	17	0.9901
72-1.2	2024-05-17_72hr_Wire+Media_1_F-A	4608.37	78.19650708	72	Wire included	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	17	0.9901
72-2.1	2024-05-17_72hr_NoWire+Media_2_A-F	108.395	1.839285992	72	No wire	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	18	
72-2.2	2024-05-17_72hr_NoWire+Media_2_F-A	100.775	1.709987046	72	No wire	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	18	
72-3.1	2024-05-17_72hr_Wire+Media+DMSO_3_A-F	3122.335	52.98092187	72	Wire included	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	19	
72-3.2	2024-05-17_72hr_Wire+Media+DMSO_3_F-A	1685.7	28.60357393	72	Wire included	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	19	
72-4.1	2024-05-17_72hr_NoWire+Media+DMSO_4_A-F	98.005	1.662984673	72	No wire	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	20	
72-4.2	2024-05-17_72hr_NoWire+Media+DMSO_4_F-A	99.685	1.691491527	72	No wire	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	20	
72-5.1	2024-05-17_72hr_Wire+10%inoc_5_A-F	58596.96	994.2946416	72	Wire included	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	21	0.9405
72-5.2	2024-05-17_72hr_Wire+10%inoc_5_F-A	60016.045	1018.374195	72	Wire included	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	21	0.9405
72-6.1	2024-05-17_72hr_NoWire+10%inoc_6_A-F	104.61	1.775060728	72	No wire	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	22	
72-6.2	2024-05-17_72hr_NoWire+10%inoc_6_F-A	113.54	1.926588233	72	No wire	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	22	
72-7.1	2024-05-17_72hr_Wire+10%inoc+DMSO_7_A-F	27654.655	469.2542972	72	Wire included	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	23	
72-7.2	2024-05-17_72hr_Wire+10%inoc+DMSO_7_F-A	24973.19	423.7542187	72	Wire included	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	23	
72-8.1	2024-05-17_72hr_NoWire+10%inoc+DMSO_8_A-F	91.445	1.551672194	72	No wire	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	24	
72-8.2	2024-05-17_72hr_NoWire+10%inoc+DMSO_8_F-A	96.96	1.645252731	72	No wire	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	24	
168-1.1	2024-05-21_168hr_Wire+Media_1_A-F	16500.41	279.9849898	168	Wire included	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	17	0.9901
168-1.2	2024-05-21_168hr_Wire+Media_1_F-A	3876.97	65.78584446	168	Wire included	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	17	0.9901
168-2.1	2024-05-21_168hr_NoWire+Media_2_A-F	112.39	1.907074612	168	No wire	Sterile medium	No DMSO	Nothing added	3	"Acidified, filtered"	18	
168-2.2	2024-05-21_168hr_NoWire+Media_2_F-A	114.56	1.943895966	168	No wire	Sterile medium	No DMSO	Nothing added	3	"Filtered, acidified"	18	
168-3.1	2024-05-21_168hr_Wire+Media+DMSO_3_A-F	3668.335	62.2456495	168	Wire included	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	19	
168-3.2	2024-05-21_168hr_Wire+Media+DMSO_3_F-A	1755.61	29.78983237	168	Wire included	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	19	
168-4.1	2024-05-21_168hr_NoWire+Media+DMSO_4_A-F	100.155	1.699466659	168	No wire	Sterile medium	DMSO	Nothing added	3	"Acidified, filtered"	20	
168-4.2	2024-05-21_168hr_NoWire+Media+DMSO_4_F-A	101.455	1.721525534	168	No wire	Sterile medium	DMSO	Nothing added	3	"Filtered, acidified"	20	
168-5.1	2024-05-21_168hr_Wire+10%inoc_5_A-F	68376.38	1160.235416	168	Wire included	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	21	0.9405
168-5.2	2024-05-21_168hr_Wire+10%inoc_5_F-A	63836.1	1083.194285	168	Wire included	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	21	0.9405
168-6.1	2024-05-21_168hr_NoWire+10%inoc_6_A-F	123.375	2.093472109	168	No wire	Wild type	No DMSO	Nothing added	3	"Acidified, filtered"	22	
168-6.2	2024-05-21_168hr_NoWire+10%inoc_6_F-A	102.52	1.739596844	168	No wire	Wild type	No DMSO	Nothing added	3	"Filtered, acidified"	22	
168-7.1	2024-05-21_168hr_Wire+10%inoc+DMSO_7_A-F	27738.63	470.6792157	168	Wire included	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	23	
168-7.2	2024-05-21_168hr_Wire+10%inoc+DMSO_7_F-A	18805.645	319.1010601	168	Wire included	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	23	
168-8.1	2024-05-21_168hr_NoWire+10%inoc+DMSO_8_A-F	111	1.883488584	168	No wire	Wild type	DMSO	Nothing added	3	"Acidified, filtered"	24	
168-8.2	2024-05-21_168hr_NoWire+10%inoc+DMSO_8_F-A	92.235	1.565077203	168	No wire	Wild type	DMSO	Nothing added	3	"Filtered, acidified"	24	
0-1.3-B	2024-05-28_0hr_Wire+Media_1_A-F	143.836	2.440661838	0	Wire included	Sterile medium	No DMSO	Nothing added	4	"Acidified, filtered"	25	0.9901
0-1.4-B	2024-05-28_0hr_Wire+Media_1_F-A	149.871	2.543065924	0	Wire included	Sterile medium	No DMSO	Nothing added	4	"Filtered, acidified"	25	0.9901
0-2.3-B	2024-05-28_0hr_NoWire+Media_2_A-F	98.506	1.671485824	0	No wire	Sterile medium	No DMSO	Nothing added	4	"Acidified, filtered"	26	
0-2.4-B	2024-05-28_0hr_NoWire+Media_2_F-A	99.131	1.682091052	0	No wire	Sterile medium	No DMSO	Nothing added	4	"Filtered, acidified"	26	
0-3.3-B	2024-05-28_0hr_Wire+Media+DMSO_3_A-F	118.454	2.009970781	0	Wire included	Sterile medium	DMSO	Nothing added	4	"Acidified, filtered"	27	
0-3.4-B	2024-05-28_0hr_Wire+Media+DMSO_3_F-A	118.923	2.017928945	0	Wire included	Sterile medium	DMSO	Nothing added	4	"Filtered, acidified"	27	
0-4.3-B	2024-05-28_0hr_NoWire+Media+DMSO_4_A-F	90.772	1.540252484	0	No wire	Sterile medium	DMSO	Nothing added	4	"Acidified, filtered"	28	
0-4.4-B	2024-05-28_0hr_NoWire+Media+DMSO_4_F-A	90.497	1.535586184	0	No wire	Sterile medium	DMSO	Nothing added	4	"Filtered, acidified"	28	
0-5.3-B	2024-05-28_0hr_Wire+10%inoc_5_A-F	17561.543	297.9906825	0	Wire included	Wild type	No DMSO	Nothing added	4	"Acidified, filtered"	29	0.9405
0-5.4-B	2024-05-28_0hr_Wire+10%inoc_5_F-A	136.619	2.318201143	0	Wire included	Wild type	No DMSO	Nothing added	4	"Filtered, acidified"	29	0.9405
0-6.3-B	2024-05-28_0hr_NoWire+10%inoc_6_A-F	98.028	1.663374945	0	No wire	Wild type	No DMSO	Nothing added	4	"Acidified, filtered"	30	
0-6.4-B	2024-05-28_0hr_NoWire+10%inoc_6_F-A	95.485	1.620224391	0	No wire	Wild type	No DMSO	Nothing added	4	"Filtered, acidified"	30	
0-7.3-B	2024-05-28_0hr_Wire+10%inoc+DMSO_7_A-F	112.462	1.908296335	0	Wire included	Wild type	DMSO	Nothing added	4	"Acidified, filtered"	31	
0-7.4-B	2024-05-28_0hr_Wire+10%inoc+DMSO_7_F-A	108.267	1.837114041	0	Wire included	Wild type	DMSO	Nothing added	4	"Filtered, acidified"	31	
0-8.3-B	2024-05-28_0hr_NoWire+10%inoc+DMSO_8_A-F	90.787	1.54050701	0	No wire	Wild type	DMSO	Nothing added	4	"Acidified, filtered"	32	
0-8.4-B	2024-05-28_0hr_NoWire+10%inoc+DMSO_8_F-A	86.998	1.476213872	0	No wire	Wild type	DMSO	Nothing added	4	"Filtered, acidified"	32	
24-1.3-B	2024-05-29_24hr_Wire+Media_1_A-F	8577.369	145.5439333	24	Wire included	Sterile medium	No DMSO	Nothing added	4	"Acidified, filtered"	25	0.9901
24-1.4-B	2024-05-29_24hr_Wire+Media_1_F-A	7716.661	130.9391252	24	Wire included	Sterile medium	No DMSO	Nothing added	4	"Filtered, acidified"	25	0.9901
24-2.3-B	2024-05-29_24hr_NoWire+Media_2_A-F	98.593	1.672962072	24	No wire	Sterile medium	No DMSO	Nothing added	4	"Acidified, filtered"	26	
24-2.4-B	2024-05-29_24hr_NoWire+Media_2_F-A	97.399	1.652701843	24	No wire	Sterile medium	No DMSO	Nothing added	4	"Filtered, acidified"	26	
24-3.3-B	2024-05-29_24hr_Wire+Media+DMSO_3_A-F	3842.28	65.19721186	24	Wire included	Sterile medium	DMSO	Nothing added	4	"Acidified, filtered"	27	
24-3.4-B	2024-05-29_24hr_Wire+Media+DMSO_3_F-A	1587.392	26.93544784	24	Wire included	Sterile medium	DMSO	Nothing added	4	"Filtered, acidified"	27	
24-4.3-B	2024-05-29_24hr_NoWire+Media+DMSO_4_A-F	91.278	1.548838477	24	No wire	Sterile medium	DMSO	Nothing added	4	"Acidified, filtered"	28	
24-4.4-B	2024-05-29_24hr_NoWire+Media+DMSO_4_F-A	92.67	1.572458442	24	No wire	Sterile medium	DMSO	Nothing added	4	"Filtered, acidified"	28	
24-5.3-B	2024-05-29_24hr_Wire+10%inoc_5_A-F	137.831	2.338766802	24	Wire included	Wild type	No DMSO	Nothing added	4	"Acidified, filtered"	29	0.9405
24-5.4-B	2024-05-29_24hr_Wire+10%inoc_5_F-A	16764.906	284.4730546	24	Wire included	Wild type	No DMSO	Nothing added	4	"Filtered, acidified"	29	0.9405
24-6.3-B	2024-05-29_24hr_NoWire+10%inoc_6_A-F	95.51	1.620648601	24	No wire	Wild type	No DMSO	Nothing added	4	"Acidified, filtered"	30	
24-6.4-B	2024-05-29_24hr_NoWire+10%inoc_6_F-A	98.432	1.670230165	24	No wire	Wild type	No DMSO	Nothing added	4	"Filtered, acidified"	30	
24-7.3-B	2024-05-29_24hr_Wire+10%inoc+DMSO_7_A-F	13821.502	234.5282994	24	Wire included	Wild type	DMSO	Nothing added	4	"Acidified, filtered"	31	
24-7.4-B	2024-05-29_24hr_Wire+10%inoc+DMSO_7_F-A	13490.368	228.9094966	24	Wire included	Wild type	DMSO	Nothing added	4	"Filtered, acidified"	31	
24-8.3-B	2024-05-29_24hr_NoWire+10%inoc+DMSO_8_A-F	89.889	1.525269417	24	No wire	Wild type	DMSO	Nothing added	4	"Acidified, filtered"	32	
24-8.4-B	2024-05-29_24hr_NoWire+10%inoc+DMSO_8_F-A	87.545	1.485495568	24	No wire	Wild type	DMSO	Nothing added	4	"Filtered, acidified"	32	
72-1.3-B	2024-05-31_72hr_Wire+Media_1_A-F	8228.593	139.6257746	72	Wire included	Sterile medium	No DMSO	Nothing added	4	"Acidified, filtered"	25	0.9901
72-1.4-B	2024-05-31_72hr_Wire+Media_1_F-A	4620.94	78.40979943	72	Wire included	Sterile medium	No DMSO	Nothing added	4	"Filtered, acidified"	25	0.9901
72-2.3-B	2024-05-31_72hr_NoWire+Media_2_A-F	101.71	1.725852467	72	No wire	Sterile medium	No DMSO	Nothing added	4	"Acidified, filtered"	26	
72-2.4-B	2024-05-31_72hr_NoWire+Media_2_F-A	101.885	1.728821931	72	No wire	Sterile medium	No DMSO	Nothing added	4	"Filtered, acidified"	26	
72-3.3-B	2024-05-31_72hr_Wire+Media+DMSO_3_A-F	3778.085	64.10792763	72	Wire included	Sterile medium	DMSO	Nothing added	4	"Acidified, filtered"	27	
72-3.4-B	2024-05-31_72hr_Wire+Media+DMSO_3_F-A	1538.497	26.1057796	72	Wire included	Sterile medium	DMSO	Nothing added	4	"Filtered, acidified"	27	
72-4.3-B	2024-05-31_72hr_NoWire+Media+DMSO_4_A-F	95.622	1.622549057	72	No wire	Sterile medium	DMSO	Nothing added	4	"Acidified, filtered"	28	
72-4.4-B	2024-05-31_72hr_NoWire+Media+DMSO_4_F-A	94.835	1.609194954	72	No wire	Sterile medium	DMSO	Nothing added	4	"Filtered, acidified"	28	
72-5.3-B	2024-05-31_72hr_Wire+10%inoc_5_A-F	90929.268	1542.921065	72	Wire included	Wild type	No DMSO	Nothing added	4	"Acidified, filtered"	29	0.9405
72-5.4-B	2024-05-31_72hr_Wire+10%inoc_5_F-A	81969.318	1390.885358	72	Wire included	Wild type	No DMSO	Nothing added	4	"Filtered, acidified"	29	0.9405
72-6.3-B	2024-05-31_72hr_NoWire+10%inoc_6_A-F	103.897	1.762962283	72	No wire	Wild type	No DMSO	Nothing added	4	"Acidified, filtered"	30	
72-6.4-B	2024-05-31_72hr_NoWire+10%inoc_6_F-A	101.202	1.717232538	72	No wire	Wild type	No DMSO	Nothing added	4	"Filtered, acidified"	30	
72-7.3-B	2024-05-31_72hr_Wire+10%inoc+DMSO_7_A-F	23009.335	390.430809	72	Wire included	Wild type	DMSO	Nothing added	4	"Acidified, filtered"	31	
72-7.4-B	2024-05-31_72hr_Wire+10%inoc+DMSO_7_F-A	21899.409	371.5971788	72	Wire included	Wild type	DMSO	Nothing added	4	"Filtered, acidified"	31	
72-8.3-B	2024-05-31_72hr_NoWire+10%inoc+DMSO_8_A-F	94.815	1.608855586	72	No wire	Wild type	DMSO	Nothing added	4	"Acidified, filtered"	32	
72-8.4-B	2024-05-31_72hr_NoWire+10%inoc+DMSO_8_F-A	91.926	1.559833978	72	No wire	Wild type	DMSO	Nothing added	4	"Filtered, acidified"	32	
168-1.3-B	2024-06-04_168hr_Wire+Media_1_A-F	9657.267	163.8680374	168	Wire included	Sterile medium	No DMSO	Nothing added	4	"Acidified, filtered"	25	0.9901
168-1.4-B	2024-06-04_168hr_Wire+Media_1_F-A	3969.165	67.35024293	168	Wire included	Sterile medium	No DMSO	Nothing added	4	"Filtered, acidified"	25	0.9901
168-2.3-B	2024-06-04_168hr_NoWire+Media_2_A-F	108.465	1.840473777	168	No wire	Sterile medium	No DMSO	Nothing added	4	"Acidified, filtered"	26	
168-2.4-B	2024-06-04_168hr_NoWire+Media_2_F-A	107.201	1.819025763	168	No wire	Sterile medium	No DMSO	Nothing added	4	"Filtered, acidified"	26	
168-3.3-B	2024-06-04_168hr_Wire+Media+DMSO_3_A-F	5514.793	93.57702395	168	Wire included	Sterile medium	DMSO	Nothing added	4	"Acidified, filtered"	27	
168-3.4-B	2024-06-04_168hr_Wire+Media+DMSO_3_F-A	1869.686	31.72551565	168	Wire included	Sterile medium	DMSO	Nothing added	4	"Filtered, acidified"	27	
168-4.3-B	2024-06-04_168hr_NoWire+Media+DMSO_4_A-F	96.242	1.633069444	168	No wire	Sterile medium	DMSO	Nothing added	4	"Acidified, filtered"	28	
168-4.4-B	2024-06-04_168hr_NoWire+Media+DMSO_4_F-A	97.53	1.654924699	168	No wire	Sterile medium	DMSO	Nothing added	4	"Filtered, acidified"	28	
168-5.3-B	2024-06-04_168hr_Wire+10%inoc_5_A-F	161553.41	2741.297328	168	Wire included	Wild type	No DMSO	Nothing added	4	"Acidified, filtered"	29	0.9405
168-5.4-B	2024-06-04_168hr_Wire+10%inoc_5_F-A	127040.467	2155.669093	168	Wire included	Wild type	No DMSO	Nothing added	4	"Filtered, acidified"	29	0.9405
168-6.3-B	2024-06-04_168hr_NoWire+10%inoc_6_A-F	114.165	1.937193461	168	No wire	Wild type	No DMSO	Nothing added	4	"Acidified, filtered"	30	
168-6.4-B	2024-06-04_168hr_NoWire+10%inoc_6_F-A	105.64	1.792538144	168	No wire	Wild type	No DMSO	Nothing added	4	"Filtered, acidified"	30	
168-7.3-B	2024-06-04_168hr_Wire+10%inoc+DMSO_7_A-F	25531.73	433.2317296	168	Wire included	Wild type	DMSO	Nothing added	4	"Acidified, filtered"	31	
168-7.4-B	2024-06-04_168hr_Wire+10%inoc+DMSO_7_F-A	23683.612	401.8721877	168	Wire included	Wild type	DMSO	Nothing added	4	"Filtered, acidified"	31	
168-8.3-B	2024-06-04_168hr_NoWire+10%inoc+DMSO_8_A-F	101.686	1.725445227	168	No wire	Wild type	DMSO	Nothing added	4	"Acidified, filtered"	32	
168-8.4-B	2024-06-04_168hr_NoWire+10%inoc+DMSO_8_F-A	93.655	1.589172282	168	No wire	Wild type	DMSO	Nothing added	4	"Filtered, acidified"	32	
0-1.1-S	2024-06-25_0hr_Media_1_A-F	98.495	1.671299172	0	No wire	Sterile medium	No DMSO	Nothing added	5	"Acidified, filtered"	33	
0-1.2-S	2024-06-25_0hr_Media_1_A-F	99.921	1.695496061	0	No wire	Sterile medium	No DMSO	Nothing added	6	"Acidified, filtered"	34	
0-2.1-S	2024-06-25_0hr_Wire+Media_2_A-F	149.086	2.529745757	0	Wire included	Sterile medium	No DMSO	Nothing added	5	"Acidified, filtered"	37	0.9901
0-2.2-S	2024-06-25_0hr_Wire+Media_2_A-F	147.392	2.501001346	0	Wire included	Sterile medium	No DMSO	Nothing added	6	"Acidified, filtered"	38	0.9901
0-3.1-S	2024-06-25_0hr_SpentMedia_3_A-F	124.33	2.109676898	0	No wire	Spent medium	No DMSO	Nothing added	1	"Acidified, filtered"	41	
0-3.2-S	2024-06-25_0hr_SpentMedia_3_A-F	226.329	3.840433223	0	No wire	Spent medium	No DMSO	Nothing added	2	"Acidified, filtered"	42	
0-4.1-S	2024-06-25_0hr_Wire+SpentMedia_4_A-F	172.829	2.932625662	0	Wire included	Spent medium	No DMSO	Nothing added	1	"Acidified, filtered"	45	0.9599
0-4.2-S	2024-06-25_0hr_Wire+SpentMedia_4_A-F	159.761	2.71088306	0	Wire included	Spent medium	No DMSO	Nothing added	2	"Acidified, filtered"	46	0.9599
24-1.1-S	2024-06-26_24hr_Media_1_A-F	98.381	1.669364778	24	No wire	Sterile medium	No DMSO	Nothing added	5	"Acidified, filtered"	33	
24-1.2-S	2024-06-26_24hr_Media_1_A-F	98.305	1.668075182	24	No wire	Sterile medium	No DMSO	Nothing added	6	"Acidified, filtered"	34	
24-2.1-S	2024-06-26_24hr_Wire+Media_2_A-F	8625.986	146.3688843	24	Wire included	Sterile medium	No DMSO	Nothing added	5	"Acidified, filtered"	37	0.9901
24-2.2-S	2024-06-26_24hr_Wire+Media_2_A-F	7003.223	118.8332484	24	Wire included	Sterile medium	No DMSO	Nothing added	6	"Acidified, filtered"	38	0.9901
24-3.1-S	2024-06-26_24hr_SpentMedia_3_A-F	129.496	2.197335475	24	No wire	Spent medium	No DMSO	Nothing added	1	"Acidified, filtered"	41	
24-3.2-S	2024-06-26_24hr_SpentMedia_3_A-F	291.793	4.95125031	24	No wire	Spent medium	No DMSO	Nothing added	2	"Acidified, filtered"	42	
24-4.1-S	2024-06-26_24hr_Wire+SpentMedia_4_A-F	24241.465	411.3380413	24	Wire included	Spent medium	No DMSO	Nothing added	1	"Acidified, filtered"	45	0.9599
24-4.2-S	2024-06-26_24hr_Wire+SpentMedia_4_A-F	32309.667	548.2422428	24	Wire included	Spent medium	No DMSO	Nothing added	2	"Acidified, filtered"	46	0.9599
72-1.1-S	2024-06-28_72hr_Media_1_A-F	101.807	1.727498399	72	No wire	Sterile medium	No DMSO	Nothing added	5	"Acidified, filtered"	33	
72-1.2-S	2024-06-28_72hr_Media_1_A-F	105.18	1.784732696	72	No wire	Sterile medium	No DMSO	Nothing added	6	"Acidified, filtered"	34	
72-2.1-S	2024-06-28_72hr_Wire+Media_2_A-F	7091.945	120.3387157	72	Wire included	Sterile medium	No DMSO	Nothing added	5	"Acidified, filtered"	37	0.9901
72-2.2-S	2024-06-28_72hr_Wire+Media_2_A-F	6590.297	111.826569	72	Wire included	Sterile medium	No DMSO	Nothing added	6	"Acidified, filtered"	38	0.9901
72-3.1-S	2024-06-28_72hr_SpentMedia_3_A-F	131.612	2.233240536	72	No wire	Sterile medium	No DMSO	Nothing added	7	"Acidified, filtered"	41	
72-3.2-S	2024-06-28_72hr_SpentMedia_3_A-F	310.026	5.26063452	72	No wire	Sterile medium	No DMSO	Nothing added	7	"Acidified, filtered"	42	
72-4.1-S	2024-06-28_72hr_Wire+SpentMedia_4_A-F	18913.932	320.9385135	72	Wire included	Spent medium	No DMSO	Nothing added	1	"Acidified, filtered"	45	0.9599
72-4.2-S	2024-06-28_72hr_Wire+SpentMedia_4_A-F	28067.249	476.255343	72	Wire included	Spent medium	No DMSO	Nothing added	2	"Acidified, filtered"	46	0.9599
168-1.1-S	2024-07-02_168hr_Media_1_A-F	106.139	1.801005359	168	No wire	Sterile medium	No DMSO	Nothing added	5	"Acidified, filtered"	33	
168-1.2-S	2024-07-02_168hr_Media_1_A-F	111.755	1.8962997	168	No wire	Sterile medium	No DMSO	Nothing added	6	"Acidified, filtered"	34	
168-2.1-S	2024-07-02_168hr_Wire+Media_2_A-F	16647.111	282.474266	168	Wire included	Sterile medium	No DMSO	Nothing added	5	"Acidified, filtered"	37	0.9901
168-2.2-S	2024-07-02_168hr_Wire+Media_2_A-F	7308.645	124.0157606	168	Wire included	Sterile medium	No DMSO	Nothing added	6	"Acidified, filtered"	38	0.9901
168-3.1-S	2024-07-02_168hr_SpentMedia_3_A-F	136.682	2.31927015	168	No wire	Spent medium	No DMSO	Nothing added	1	"Acidified, filtered"	41	
168-3.2-S	2024-07-02_168hr_SpentMedia_3_A-F	319.142	5.415318141	168	No wire	Spent medium	No DMSO	Nothing added	2	"Acidified, filtered"	42	
168-4.1-S	2024-07-02_168hr_Wire+SpentMedia_4_A-F	31117.191	528.007874	168	Wire included	Spent medium	No DMSO	Nothing added	1	"Acidified, filtered"	45	0.9599
168-4.2-S	2024-07-02_168hr_Wire+SpentMedia_4_A-F	42895.133	727.8603001	168	Wire included	Spent medium	No DMSO	Nothing added	2	"Acidified, filtered"	46	0.9599
0-1.3-S	2024-07-30_0hr_Media_1_A-F	94.97	1.611485683	0	No wire	Sterile medium	No DMSO	Nothing added	7	"Acidified, filtered"	35	
0-1.4-S	2024-07-30_0hr_Media_1_A-F	97.889	1.661016342	0	No wire	Sterile medium	No DMSO	Nothing added	8	"Acidified, filtered"	36	
0-2.3-S	2024-07-30_0hr_Wire+Media_2_A-F	135.927	2.306459034	0	Wire included	Sterile medium	No DMSO	Nothing added	7	"Acidified, filtered"	39	0.9901
0-2.4-S	2024-07-30_0hr_Wire+Media_2_A-F	139.564	2.36817298	0	Wire included	Sterile medium	No DMSO	Nothing added	8	"Acidified, filtered"	40	0.9901
0-3.3-S	2024-07-30_0hr_SpentMedia_3_A-F	97.377	1.652328539	0	No wire	Spent medium	No DMSO	Nothing added	3	"Acidified, filtered"	43	
0-3.4-S	2024-07-30_0hr_SpentMedia_3_A-F	96.786	1.642300235	0	No wire	Spent medium	No DMSO	Nothing added	4	"Acidified, filtered"	44	
0-4.3-S	2024-07-30_0hr_Wire+SpentMedia_4_A-F	156.819	2.660962128	0	Wire included	Spent medium	No DMSO	Nothing added	3	"Acidified, filtered"	47	0.9599
0-4.4-S	2024-07-30_0hr_Wire+SpentMedia_4_A-F	143.896	2.441679939	0	Wire included	Spent medium	No DMSO	Nothing added	4	"Acidified, filtered"	48	0.9599
24-1.3-S	2024-07-31_24hr_Media_1_A-F	95.28	1.616745876	24	No wire	Sterile medium	No DMSO	Nothing added	7	"Acidified, filtered"	35	
24-1.4-S	2024-07-31_24hr_Media_1_A-F	98.769	1.675948504	24	No wire	Sterile medium	No DMSO	Nothing added	8	"Acidified, filtered"	36	
24-2.3-S	2024-07-31_24hr_Wire+Media_2_A-F	8201.155	139.1601966	24	Wire included	Sterile medium	No DMSO	Nothing added	7	"Acidified, filtered"	39	0.9901
24-2.4-S	2024-07-31_24hr_Wire+Media_2_A-F	8276.058	140.431178	24	Wire included	Sterile medium	No DMSO	Nothing added	8	"Acidified, filtered"	40	0.9901
24-3.3-S	2024-07-31_24hr_SpentMedia_3_A-F	95.682	1.623567159	24	No wire	Spent medium	No DMSO	Nothing added	3	"Acidified, filtered"	43	
24-3.4-S	2024-07-31_24hr_SpentMedia_3_A-F	97.734	1.658386246	24	No wire	Spent medium	No DMSO	Nothing added	4	"Acidified, filtered"	44	
24-4.3-S	2024-07-31_24hr_Wire+SpentMedia_4_A-F	35687.537	605.5591759	24	Wire included	Spent medium	No DMSO	Nothing added	3	"Acidified, filtered"	47	0.9599
24-4.4-S	2024-07-31_24hr_Wire+SpentMedia_4_A-F	36101.519	612.5837739	24	Wire included	Spent medium	No DMSO	Nothing added	4	"Acidified, filtered"	48	0.9599
72-1.3-S	2024-08-02_72hr_Media_1_A-F	97.842	1.660218829	72	No wire	Sterile medium	No DMSO	Nothing added	7	"Acidified, filtered"	35	
72-1.4-S	2024-08-02_72hr_Media_1_A-F	94.297	1.600065973	72	No wire	Sterile medium	No DMSO	Nothing added	8	"Acidified, filtered"	36	
72-2.3-S	2024-08-02_72hr_Wire+Media_2_A-F	7917.957	134.3547894	72	Wire included	Sterile medium	No DMSO	Nothing added	6	"Acidified, filtered"	39	0.9901
72-2.4-S	2024-08-02_72hr_Wire+Media_2_A-F	6970.155	118.2721385	72	Wire included	Sterile medium	No DMSO	Nothing added	6	"Acidified, filtered"	40	0.9901
72-3.3-S	2024-08-02_72hr_SpentMedia_3_A-F	97.848	1.660320639	72	No wire	Sterile medium	No DMSO	Nothing added	7	"Acidified, filtered"	43	
72-3.4-S	2024-08-02_72hr_SpentMedia_3_A-F	100.179	1.6998739	72	No wire	Sterile medium	No DMSO	Nothing added	7	"Acidified, filtered"	44	
72-4.3-S	2024-08-02_72hr_Wire+SpentMedia_4_A-F	22385.585	379.8467909	72	Wire included	Spent medium	No DMSO	Nothing added	3	"Acidified, filtered"	47	0.9599
72-4.4-S	2024-08-02_72hr_Wire+SpentMedia_4_A-F	27626.731	468.7804725	72	Wire included	Spent medium	No DMSO	Nothing added	4	"Acidified, filtered"	48	0.9599
168-1.3-S	2024-08-06_168hr_Media_1_A-F	100.695	1.708629576	168	No wire	Sterile medium	No DMSO	Nothing added	7	"Acidified, filtered"	35	
168-1.4-S	2024-08-06_168hr_Media_1_A-F	100.369	1.703097889	168	No wire	Sterile medium	No DMSO	Nothing added	8	"Acidified, filtered"	36	
168-2.3-S	2024-08-06_168hr_Wire+Media_2_A-F	14769.023	250.6061821	168	Wire included	Sterile medium	No DMSO	Nothing added	7	"Acidified, filtered"	39	0.9901
