Short_name	Sample_name	Dilution	Cobalt_concentration_ug_L	Cobalt_concentration_uM	Sample_preservation	Spike_concentration	Replicate	Mean_cobalt_concentration_uM	Median_cobalt_concentration_uM	Stdev_cobalt_concentration_uM
2.3 F-A 48hr	2026-05-01_48hr_10%inoc+2µMCo2+_3_F-A	10	170	2.884622156	"Filtered, acidified"	2	6	2.856341546	2.884622156	0.069273063
20.1 F-A 48hr	2026-05-01_48hr_10%inoc+20µMCo2+_1_F-A	10	880	14.93216175	"Filtered, acidified"	20	4	15.01700357	15.01700358	0.397943449
20.2 F-A 48hr	2026-05-01_48hr_10%inoc+20µMCo2+_2_F-A	10	870	14.76247809	"Filtered, acidified"	20	5	15.01700357	15.01700358	0.397943449
20.3 F-A 48hr	2026-05-01_48hr_10%inoc+20µMCo2+_3_F-A	10	910	15.44121272	"Filtered, acidified"	20	6	15.01700357	15.01700358	0.397943449
200.1 F-A 48hr	2026-05-01_48hr_10%inoc+200µMCo2+_1_F-A	20	10140	172.0592274	"Filtered, acidified"	200	4	162.0478917	160.1813715	8.323152002
200.2 F-A 48hr	2026-05-01_48hr_10%inoc+200µMCo2+_2_F-A	20	9520	161.5388407	"Filtered, acidified"	200	5	162.0478917	160.1813715	8.323152002
200.3 F-A 48hr	2026-05-01_48hr_10%inoc+200µMCo2+_3_F-A	20	10120	171.7198601	"Filtered, acidified"	200	6	162.0478917	160.1813715	8.323152002
2000.1 F-A 48hr	2026-05-01_48hr_10%inoc+2000µMCo2+_1_F-A	20	88880	1508.148336	"Filtered, acidified"	2000	4	1497.232021	1510.693591	167.2222806
2000.2 F-A 48hr	2026-05-01_48hr_10%inoc+2000µMCo2+_2_F-A	20	95440	1619.460815	"Filtered, acidified"	2000	5	1497.232021	1510.693591	167.2222806
2000.3 F-A 48hr	2026-05-01_48hr_10%inoc+2000µMCo2+_3_F-A	20	89180	1513.238846	"Filtered, acidified"	2000	6	1497.232021	1510.693591	167.2222806
0.1 A-F 48hr	2026-05-01_48hr_10%inoc+0µMCo2+_1_A-F	10	80	1.35746925	"Acidified, filtered"	0	4	1.35746925	1.35746925	0
0.2 A-F 48hr	2026-05-01_48hr_10%inoc+0µMCo2+_2_A-F	10	80	1.35746925	"Acidified, filtered"	0	5	1.35746925	1.35746925	0
0.3 A-F 48hr	2026-05-01_48hr_10%inoc+0µMCo2+_3_A-F	10	80	1.35746925	"Acidified, filtered"	0	6	1.35746925	1.35746925	0
2.1 A-F 48hr	2026-05-01_48hr_10%inoc+2µMCo2+_1_A-F	10	160	2.714938499	"Acidified, filtered"	2	4	2.856341546	2.884622156	0.069273063
2.2 A-F 48hr	2026-05-01_48hr_10%inoc+2µMCo2+_2_A-F	10	170	2.884622156	"Acidified, filtered"	2	5	2.856341546	2.884622156	0.069273063
2.3 A-F 48hr	2026-05-01_48hr_10%inoc+2µMCo2+_3_A-F	10	170	2.884622156	"Acidified, filtered"	2	6	2.856341546	2.884622156	0.069273063
20.1 A-F 48hr	2026-05-01_48hr_10%inoc+20µMCo2+_1_A-F	10	1020	17.30773293	"Acidified, filtered"	20	4	16.68555953	16.71384014	0.709161302
20.2 A-F 48hr	2026-05-01_48hr_10%inoc+20µMCo2+_2_A-F	10	1030	17.47741659	"Acidified, filtered"	20	5	16.68555953	16.71384014	0.709161302
20.3 A-F 48hr	2026-05-01_48hr_10%inoc+20µMCo2+_3_A-F	10	1010	17.13804928	"Acidified, filtered"	20	6	16.68555953	16.71384014	0.709161302
200.1 A-F 48hr	2026-05-01_48hr_10%inoc+200µMCo2+_1_A-F	20	10660	180.8827775	"Acidified, filtered"	200	4	170.4189521	170.7017582	8.402111446
200.2 A-F 48hr	2026-05-01_48hr_10%inoc+200µMCo2+_2_A-F	20	10060	170.7017582	"Acidified, filtered"	200	5	170.4189521	170.7017582	8.402111446
200.3 A-F 48hr	2026-05-01_48hr_10%inoc+200µMCo2+_3_A-F	20	10500	178.167839	"Acidified, filtered"	200	6	170.4189521	170.7017582	8.402111446
2000.1 A-F 48hr	2026-05-01_48hr_10%inoc+2000µMCo2+_1_A-F	20	93640	1588.917757	"Acidified, filtered"	2000	4	1625.625988	1610.297898	74.54391858
2000.2 A-F 48hr	2026-05-01_48hr_10%inoc+2000µMCo2+_2_A-F	20	99640	1690.727951	"Acidified, filtered"	2000	5	1625.625988	1610.297898	74.54391858
2000.3 A-F 48hr	2026-05-01_48hr_10%inoc+2000µMCo2+_3_A-F	20	101960	1730.094559	"Acidified, filtered"	2000	6	1625.625988	1610.297898	74.54391858
